477099.41,4366469.5,2746.6099997
477107.99999,4366469.5,2755.7400008
477149.46,4366469.51,2740.8599997
477172.4,4366469.5,2737.7100001
477207.57,4366469.5,2730.3200002
477208.55999,4366469.84,2729.9499998
477208.55999,4366513.92,2734.2600003
477208.55001,4366522.19,2734.9700003
477208.55001,4366566.73,2745.9999991
477208.55999,4366585.33,2738.6999998
477208.55999,4366630.46,2737.7600003
477208.55999,4366664.07,2734.3100005
477208.55999,4366669.69,2733.4300003
477208.55999,4366677.84,2732.9200001
477208.55999,4366725.98,2737.4899998
477208.14999,4366726.47,2726.69
477173.08,4366726.48,2735.08
477157.66,4366726.49,2736.29
477112.35999,4366726.48,2728.3599999
477080.01,4366726.48,2736.8100005
477052.18,4366726.49,2742.9600001
477002.85,4366726.48,2746.4499998
476973.17,4366726.49,2747.5600005
476968.26,4366726.49,2747.4600001
476958.99,4366726.49,2745.4499998
476944.53,4366726.49,2742.5999995
476942.93,4366726.49,2742.1899996
476941.81,4366725.79,2741.7200003
476941.57,4366724.53,2741.4199992
476941.41,4366722.64,2741.4499998
476941.37,4366718.11,2741.0199995
476941.35,4366712.9,2740.6300002
476941.35,4366711.07,2740.5600005
476941.35,4366689.85,2740.3800002
476941.35,4366681.67,2739.2699995
476941.35,4366681.59,2736.4600001
476941.35,4366665.9,2744.1099997
476941.36,4366640.95,2734.8699999
476941.35,4366611.47,2735.6199999
476941.35,4366596.14,2735.0699997
476941.35,4366587.82,2733.8199997
476941.35,4366548.65,2735.25
476941.35,4366536.13,2735.7799998
476941.35,4366534.18,2735.79
476941.35,4366515.53,2762.9200011
476941.35,4366494.17,2737.4200001
476941.35,4366482.4,2737.8500004
476941.35,4366476.9,2739.2200003
476941.39,4366476.24,2738.4799996
476941.59,4366473.79,2739.7100001
476942.06,4366469.7,2745.6699992
476942.79,4366469.54,2747.7400008
476949.73,4366469.53,2737.6999998
476966.27,4366469.51,2743.5600005
476989.06,4366469.5,2754.9299994
476993.14,4366469.5,2738.75
477005.92,4366469.5,2756.9000006
477011.38,4366469.5,2745.0099993
477012.26,4366469.5,2740.0600005
477020.14,4366469.5,2739.9300003
477040.34,4366469.5,2739.8699999
477064.73,4366469.5,2737.79
477072.04,4366469.5,2739.08
477097.76,4366469.5,2746.2499991
477099.41,4366469.5,2746.6099997
#
